what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1336205696859
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals",1336205698406
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336205699203
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336205699421
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336205700140
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336205700312
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1336205701031
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1336205707453
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336205715500
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336205765562
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336205773984
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336205844015
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336205854265
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336205856281
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1336205875578
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336205877343
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1336205918843
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336205961109
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1336205962500
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336205965312
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336206005421
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1336206006484
