what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1336444093765
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1336444094875
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1336444111218
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1336444166281
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1336444168140
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336444170125
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336444188984
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336444197906
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336444204359
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336444205421
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336444205468
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1336444206390
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1336444206812
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1336444209890
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1336444214921
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336444227328
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336444297937
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1336444298265
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336444309015
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336444310578
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336444314031
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336444871421
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336444873296
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336444875125
