what,kind,bundleId,bundleVersion,description,time
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1336115507906
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1336115582406
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1336115587171
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1336115590859
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals",1336115591890
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336115592765
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336115592953
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336115594703
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336115594890
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.upperCase",1336115641453
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1336115641843
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals",1336115643953
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336115644531
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336115644703
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336115646500
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336115646687
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1336115647421
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1336115651359
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1336115655140
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1336115662843
