what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1336986228000
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.delete.line",1336986233984
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1336986244671
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1336986261250
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1336986299250
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336986301546
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336986306109
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1336986308593
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336986309250
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336986322328
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1336986357250
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336986358140
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336986362656
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1336986364281
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336986365062
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336986379156
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336986389187
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336986411843
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1336986429718
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1336986433828
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1336986454250
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336986471218
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336986473234
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1336986476781
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1336986499562
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1336986552343
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1336986556078
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336986556828
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336986561000
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1336986567609
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1336986573078
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1336986599140
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336986601000
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336986613562
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1336986635156
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336986640234
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336986646687
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1336986655578
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336986658750
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336986689171
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336986700796
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336986747156
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336986786796
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336986797265
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1336986809734
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1336986841640
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1336986907125
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1336986927625
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336986934421
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336986940234
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1336986949062
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1336986956437
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336986963765
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336986993453
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336986995093
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336986997453
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1336987038500
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1336987069312
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1336987088046
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336987088734
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336987092625
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1336987103968
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336987110000
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336987115125
executed,command,com.aptana.ide.editors,1.2.7.024747,"com.aptana.ide.editors.views.actions.actionKeyCommand",1336987116062
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1336987127890
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1336987128640
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1336987129734
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1336987131140
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336987132890
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336987138406
executed,command,com.aptana.ide.editors,1.2.7.024747,"com.aptana.ide.editors.views.actions.actionKeyCommand",1336987139312
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1336987155953
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1336987186640
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336987189718
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336987234437
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1336987251890
executed,command,com.aptana.ide.editors,1.2.7.024747,"com.aptana.ide.editors.views.actions.actionKeyCommand",1336987264375
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1336987279390
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336987281140
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336987288375
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1336987297921
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336987359484
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336987382953
executed,command,com.aptana.ide.editors,1.2.7.024747,"com.aptana.ide.editors.views.actions.actionKeyCommand",1336987394875
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1336987423750
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336987424734
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336987435937
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336987447343
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336987458468
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1336987471156
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1336987475531
activated,view,com.aptana.ide.core.ui,1.2.7.024747,"com.aptana.ide.core.ui.AptanaNavigator",1336987477140
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336987480125
opened,editor,com.aptana.ide.editor.html,1.2.7.024747,"com.aptana.ide.editors.HTMLEditor",1336987490937
activated,editor,com.aptana.ide.editor.html,1.2.7.024747,"com.aptana.ide.editors.HTMLEditor",1336987490953
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336987491046
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1336987498859
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1336987503843
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1336987505703
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1336987507859
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336987508734
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336987532390
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1336987558062
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1336987572359
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1336987593484
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1336987604625
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336987611546
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336987612796
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1336987613390
activated,view,com.aptana.ide.core.ui,1.2.7.024747,"com.aptana.ide.core.ui.AptanaNavigator",1336987615609
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336987616937
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336987620578
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336987621421
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336987628484
activated,editor,com.aptana.ide.editor.html,1.2.7.024747,"com.aptana.ide.editors.HTMLEditor",1336987628546
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336987648718
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336987652796
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1336987654437
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336987655343
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336987659484
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1336987682562
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1336987709656
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1336987735390
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336987737031
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336987742031
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1336987746875
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336987753718
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336987781781
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1336987783203
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336987783937
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336987789000
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1336987796296
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336987799656
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336987804875
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1336987837375
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1336987848375
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336987859546
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336987863984
executed,command,com.aptana.ide.editors,1.2.7.024747,"com.aptana.ide.editors.views.actions.actionKeyCommand",1336987870406
executed,command,com.aptana.ide.editors,1.2.7.024747,"com.aptana.ide.editors.views.actions.actionKeyCommand",1336987873359
executed,command,com.aptana.ide.editors,1.2.7.024747,"com.aptana.ide.editors.views.actions.actionKeyCommand",1336987875312
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1336987876093
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336987876640
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336987880359
executed,command,com.aptana.ide.editors,1.2.7.024747,"com.aptana.ide.editors.views.actions.actionKeyCommand",1336987884593
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1336987903062
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1336987904937
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336987905734
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336987914453
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1336987953375
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336987954046
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336987959781
executed,command,com.aptana.ide.editors,1.2.7.024747,"com.aptana.ide.editors.views.actions.actionKeyCommand",1336987980296
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1336987988000
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1336988016421
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1336988023828
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1336988030406
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336988031656
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336988035640
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1336988064640
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1336988071234
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1336988074046
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336988074796
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336988077406
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1336988079093
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336988081281
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336988098671
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1336988106078
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336988107781
