what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1336794625546
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1336794627359
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1336794635937
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336794646390
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336794667843
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1336794714859
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1336794717187
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1336794747265
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1336794792031
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1336794801718
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336794810656
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336794827796
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1336794839609
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336794841562
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336794929406
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1336794931171
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336794946734
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336794985750
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1336794987890
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1336795011109
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1336795015140
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1336795017953
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals",1336795020875
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336795021281
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336795021421
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336795022296
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336795022484
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1336795023109
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336795042031
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336795042140
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1336795051843
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1336795056906
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1336795062968
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1336795068250
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1336795071687
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336795093406
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336795192031
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1336795194687
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1336795201343
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1336795203468
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1336795205656
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1336795214046
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336795238921
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336795252937
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1336795254546
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1336795256437
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1336795282484
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1336795298421
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1336795303734
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336795343531
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336795383546
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1336795387265
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1336795387656
started,bundle,org.eclipse.wst.jsdt.debug.rhino.ui,1.0.0.v201103232243,"org.eclipse.wst.jsdt.debug.rhino.ui",1336795389515
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1336795394156
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1336795403812
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1336795409875
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1336795411484
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336795464093
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336795481875
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336795508312
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1336795524343
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1336795524500
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1336795524718
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1336795524812
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1336795524921
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1336795525031
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1336795525234
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1336795525593
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1336795526281
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1336795529250
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1336795529687
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336795539187
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336795568734
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336795569671
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336795571359
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336795577968
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336799497718
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336799498531
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1336799501171
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336799503843
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336799602218
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336799622343
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336799642343
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1336799644968
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1336799653921
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1336799655734
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336799656921
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336799665031
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.copyLineDown",1336799667140
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1336799682468
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1336799686953
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336799687343
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336799722625
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1336799724500
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336799747640
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336799759968
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1336799760015
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336799774390
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336799776031
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.copyLineDown",1336799781765
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1336799787109
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1336799809812
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1336799834296
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1336799835937
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.ClassFileEditor",1336799845781
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.ClassFileEditor",1336799845921
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1336799853812
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.ClassFileEditor",1336799853828
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1336799865015
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1336799870843
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1336799873953
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.copyLineDown",1336799880765
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1336799887906
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1336799891390
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1336799898890
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1336799901203
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336799902359
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336800174843
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336800175484
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336802913828
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336803218671
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336803435640
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336804567531
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336804877906
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336804934125
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.delete.line",1336804939484
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1336804942078
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1336804942953
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1336804994875
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1336804995343
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336805014562
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336805442375
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336805444468
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1336805462781
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336805467218
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336805516281
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336805542515
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336805576625
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1336805594078
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1336805594578
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1336805635218
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1336805656562
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1336805657953
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1336805659718
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336805661828
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336805669296
